names,edges,distance,weighting
"('The Pen And Pencil', 'Boom Battle Bar')","(7, 35)",0.02548449333371728,1.0
"('The Pen And Pencil', 'Virtual Hideout')","(7, 36)",0.015665044489878193,1.0
"('The Pen And Pencil', 'DNA VR')","(7, 37)",0.02516773691939989,1.0
"('The Pen And Pencil', 'Sken Studios')","(7, 38)",0.3082039911308204,1.0
"('The Pen And Pencil', 'Cork and Canvas')","(7, 39)",0.020617962968295562,1.0
"('The Pen And Pencil', 'Ma Lumiere')","(7, 40)",0.060471679096956256,1.0
"('The Pen And Pencil', 'Northern Flower')","(7, 41)",0.012036743744060817,1.0
"('The Pen And Pencil', 'Junkyard Golf Club')","(7, 44)",0.04382756932646068,1.0
"('The Pen And Pencil', 'Goodtime Games')","(7, 62)",0.2184755377660034,1.0
"('Crazy Pedro’s', 'Manchester Art Gallery')","(8, 21)",0.023987099375125984,1.0
"('Crazy Pedro’s', 'HOME')","(8, 22)",0.03127249690442595,0.85
"('Crazy Pedro’s', 'Rogue Artists’ Studios')","(8, 23)",0.19947015290696,1.0
"('Crazy Pedro’s', 'Salford Museum and Art Gallery')","(8, 24)",0.1099144757681343,1.0
"('Crazy Pedro’s', 'The Lowry')","(8, 25)",0.09652431825380828,1.0
"('Crazy Pedro’s', 'The Whitworth')","(8, 26)",0.08192472715754312,1.0
"('Crazy Pedro’s', 'Islington Mill')","(8, 27)",0.0313588850174216,1.0
"('Crazy Pedro’s', 'Holden Gallery')","(8, 28)",0.05390618250928672,1.0
"('Crazy Pedro’s', 'Castlefield Gallery')","(8, 29)",0.02928557030552596,1.0
"('Crazy Pedro’s', 'Gallery Oldham')","(8, 30)",0.4068592161718548,1.0
"('Crazy Pedro’s', 'Factory International')","(8, 31)",0.02188498862556512,0.85
"('Crazy Pedro’s', 'Pottery Corner')","(8, 32)",0.1842658450197253,0.85
"('Crazy Pedro’s', 'Seven Limes Pottery')","(8, 33)",0.08445877847208225,1.0
"('Crazy Pedro’s', 'Clay Studio')","(8, 34)",0.06614449851700406,1.0
"('Crazy Pedro’s', 'Boom Battle Bar')","(8, 35)",0.02611800616235206,1.0
"('Crazy Pedro’s', 'Virtual Hideout')","(8, 36)",0.03138768105508682,1.0
"('Crazy Pedro’s', 'DNA VR')","(8, 37)",0.019437325424021653,1.0
"('Crazy Pedro’s', 'Sken Studios')","(8, 38)",0.2795519336539292,1.0
"('Crazy Pedro’s', 'Cork and Canvas')","(8, 39)",0.06035649494629539,1.0
"('Crazy Pedro’s', 'Ma Lumiere')","(8, 40)",0.0970714429694474,1.0
"('Crazy Pedro’s', 'Northern Flower')","(8, 41)",0.037636421228438965,1.0
"('Crazy Pedro’s', 'Junkyard Golf Club')","(8, 44)",0.03127249690442595,1.0
"('Crazy Pedro’s', 'Goodtime Games')","(8, 62)",0.21798600512569472,1.0
"('Gaucho Manchester', 'Manchester Art Gallery')","(9, 21)",0.18734702104990353,1.0
"('Gaucho Manchester', 'HOME')","(9, 22)",0.21150689665102082,0.85
"('Gaucho Manchester', 'Rogue Artists’ Studios')","(9, 23)",0.16531805223601231,1.0
"('Gaucho Manchester', 'Salford Museum and Art Gallery')","(9, 24)",0.2969735364413857,1.0
"('Gaucho Manchester', 'The Lowry')","(9, 25)",0.29610965531142913,1.0
"('Gaucho Manchester', 'The Whitworth')","(9, 26)",0.22129754945719468,1.0
"('Gaucho Manchester', 'Islington Mill')","(9, 27)",0.22561695510697727,1.0
"('Gaucho Manchester', 'Holden Gallery')","(9, 28)",0.21542315777349036,1.0
"('Gaucho Manchester', 'Castlefield Gallery')","(9, 29)",0.2186483139919947,1.0
"('Gaucho Manchester', 'Gallery Oldham')","(9, 30)",0.20566130100498173,1.0
"('Gaucho Manchester', 'Factory International')","(9, 31)",0.2231692919054338,0.85
"('Gaucho Manchester', 'Pottery Corner')","(9, 32)",0.37253433927491575,0.85
"('Gaucho Manchester', 'Seven Limes Pottery')","(9, 33)",0.26293661992109885,1.0
"('Gaucho Manchester', 'Clay Studio')","(9, 34)",0.24309614996976417,1.0
"('Gaucho Manchester', 'Boom Battle Bar')","(9, 35)",0.17536786938117316,1.0
"('Gaucho Manchester', 'Virtual Hideout')","(9, 36)",0.17306418636795576,1.0
"('Gaucho Manchester', 'DNA VR')","(9, 37)",0.18587842312897745,1.0
"('Gaucho Manchester', 'Sken Studios')","(9, 38)",0.47596970656837617,1.0
"('Gaucho Manchester', 'Cork and Canvas')","(9, 39)",0.14714775246926023,1.0
"('Gaucho Manchester', 'Ma Lumiere')","(9, 40)",0.10729403634059953,1.0
"('Gaucho Manchester', 'Northern Flower')","(9, 41)",0.16730497883491233,1.0
"('Gaucho Manchester', 'Junkyard Golf Club')","(9, 44)",0.21150689665102082,1.0
"('Gaucho Manchester', 'Goodtime Games')","(9, 62)",0.3662568030638984,1.0
"('Campo Blanco', 'Manchester Art Gallery')","(10, 21)",0.2971751087050422,1.0
"('Campo Blanco', 'HOME')","(10, 22)",0.3138192184755378,0.85
"('Campo Blanco', 'Rogue Artists’ Studios')","(10, 23)",0.4247703515996199,1.0
"('Campo Blanco', 'Salford Museum and Art Gallery')","(10, 24)",0.2651539148213206,1.0
"('Campo Blanco', 'The Lowry')","(10, 25)",0.3033086647277335,1.0
"('Campo Blanco', 'The Whitworth')","(10, 26)",0.36285887061940275,1.0
"('Campo Blanco', 'Islington Mill')","(10, 27)",0.27039479367639013,1.0
"('Campo Blanco', 'Holden Gallery')","(10, 28)",0.33599216747775507,1.0
"('Campo Blanco', 'Castlefield Gallery')","(10, 29)",0.3107092464076943,1.0
"('Campo Blanco', 'Gallery Oldham')","(10, 30)",0.4309327036599764,1.0
"('Campo Blanco', 'Factory International')","(10, 31)",0.289198606271777,0.85
"('Campo Blanco', 'Pottery Corner')","(10, 32)",0.43438822817980244,0.85
"('Campo Blanco', 'Seven Limes Pottery')","(10, 33)",0.3617646211881245,1.0
"('Campo Blanco', 'Clay Studio')","(10, 34)",0.3465603133008898,1.0
"('Campo Blanco', 'Boom Battle Bar')","(10, 35)",0.2796671178045901,1.0
"('Campo Blanco', 'Virtual Hideout')","(10, 36)",0.288536297405477,1.0
"('Campo Blanco', 'DNA VR')","(10, 37)",0.2897169349497509,1.0
"('Campo Blanco', 'Sken Studios')","(10, 38)",0.49310334897918046,1.0
"('Campo Blanco', 'Cork and Canvas')","(10, 39)",0.29515938606847697,1.0
"('Campo Blanco', 'Ma Lumiere')","(10, 40)",0.2896881389120857,1.0
"('Campo Blanco', 'Northern Flower')","(10, 41)",0.28960175079909006,1.0
"('Campo Blanco', 'Junkyard Golf Club')","(10, 44)",0.3138192184755378,1.0
"('Campo Blanco', 'Goodtime Games')","(10, 62)",0.4959829527457022,1.0
"('Menagerie', 'Manchester Art Gallery')","(11, 21)",0.03225156218504334,1.0
"('Menagerie', 'HOME')","(11, 22)",0.03780919745443027,0.85
"('Menagerie', 'Rogue Artists’ Studios')","(11, 23)",0.2076482276038817,1.0
"('Menagerie', 'Salford Museum and Art Gallery')","(11, 24)",0.1023987099375126,1.0
"('Menagerie', 'The Lowry')","(11, 25)",0.09119705128574308,1.0
"('Menagerie', 'The Whitworth')","(11, 26)",0.08918132864917787,1.0
"('Menagerie', 'Islington Mill')","(11, 27)",0.023641546923143377,1.0
"('Menagerie', 'Holden Gallery')","(11, 28)",0.06084602758660408,1.0
"('Menagerie', 'Castlefield Gallery')","(11, 29)",0.034094508595617246,1.0
"('Menagerie', 'Gallery Oldham')","(11, 30)",0.41103464163331127,1.0
"('Menagerie', 'Factory International')","(11, 31)",0.019293345235695567,0.85
"('Menagerie', 'Pottery Corner')","(11, 32)",0.18469778558470354,0.85
"('Menagerie', 'Seven Limes Pottery')","(11, 33)",0.08800069110490397,1.0
"('Menagerie', 'Clay Studio')","(11, 34)",0.07063668039277796,1.0
"('Menagerie', 'Boom Battle Bar')","(11, 35)",0.03170443746940421,1.0
